Category;Index;Element;Scale of grain;Scale of information extent;Reference
Connectivity;Connectivity alpha index;Street network;Urban Area/Neighbourhood;Urban Area/Neighbourhood;Song and Popkin (2013)
Connectivity;Connectivity beta index;Street network;Urban Area/Neighbourhood;Urban Area/Neighbourhood;Song and Popkin (2013)
Connectivity;Connectivity cyclomatic index;Street network;Urban Area/Neighbourhood;Urban Area/Neighbourhood;Song and Popkin (2013)
Connectivity;Connectivity gamma index;Street network;Urban Area/Neighbourhood;Urban Area/Neighbourhood;Song and Popkin (2013)
Connectivity;Control;Street network;Block;Urban Area/Neighbourhood;Hillier (various)
Connectivity;Directional distance;Street network;Block;Urban Area/Neighbourhood;Peponis et al. (2017)
Connectivity;Eigenvector centrality;Street network;Block;Urban Area/Neighbourhood;Agryzcov et al. (2017)
Connectivity;External connectivity;Street network;Urban Area/Neighbourhood;Urban Area/Neighbourhood;Song and Knaap (2003)
Connectivity;Gravity;Street network;Block;Urban Area/Neighbourhood;Sevtsuk and Mekonnen (2012)
Connectivity;Gravity accessibility of Mean Maximum Gravity block;Street network;Block;Urban Area/Neighbourhood;Sevtsuk (2016)
Connectivity;Gravity achieved;Street network;Block;Urban Area/Neighbourhood;Sevtsuk (2016)
Connectivity;Choice;Street network;Block;Urban Area/Neighbourhood;Hausleitner, B. and Berghauser Pont, M. (2017)
Connectivity;Integration;Street network;Block;Urban Area/Neighbourhood;Hausleitner, B. and Berghauser Pont, M. (2017)
Connectivity;Internal connectivity;Street network;Urban Area/Neighbourhood;Urban Area/Neighbourhood;Song and Knaap (2003)
Connectivity;Link / Node Ratio ;Street network;Urban Area/Neighbourhood;Urban Area/Neighbourhood;Dill (2004)
Connectivity;Local betweenness;Street network;Block;Urban Area/Neighbourhood;Gil (2012)
Connectivity;Local closeness;Street network;Block;Urban Area/Neighbourhood;Gil (2012)
Connectivity;Node connectivity;Street network;Urban Area/Neighbourhood;Urban Area/Neighbourhood;Boeing (2017b)
Connectivity;Node/edge connectivity;Street network;Urban Area/Neighbourhood;Urban Area/Neighbourhood;Boeing (2017b)
Connectivity;PageRank;Street network;Urban Area/Neighbourhood;Urban Area/Neighbourhood;Boeing (2017)
Connectivity;Reach;Street network;Block;Urban Area/Neighbourhood;Sevtsuk and Mekonnen (2012)
Connectivity;Self-loop proportion;Street network;Urban Area/Neighbourhood;Urban Area/Neighbourhood;Boeing (2017)
Connectivity;Straightness centrality;Street network;Block;Urban Area/Neighbourhood;Porta et al. (2006)
Connectivity;Total plots required in block frontage to achieve mean maximum gravity (MMG);Street network;Urban Area/Neighbourhood;Urban Area/Neighbourhood;Sevtsuk (2016)
Connectivity;Weighted Clustering Coefficient;Street network;Urban Area/Neighbourhood;Urban Area/Neighbourhood;Boeing (2017)
Diversity;Block Area Power law distribution;Sanctuary Area;Neighbourhood;Neighbourhood;Feliciotti (2018)
Diversity;Interface type Power law distribution;Sanctuary Area;Neighbourhood;Neighbourhood;Feliciotti (2018)
Diversity;Plot Area Heterogeneity (Gini-Simpson);Sanctuary Area;Neighbourhood;Neighbourhood;Feliciotti (2018)
Diversity;Plot Area Power law distribution;Sanctuary Area;Neighbourhood;Neighbourhood;Feliciotti (2018)
Diversity;Street length power law distribution;Sanctuary Area;Neighbourhood;Neighbourhood;Feliciotti (2018)
Diversity;Intersection proportion;Street network;Neighbourhood;Neighbourhood;Song and Popkin (2013)
Diversity;Dissimilarity index;Tract;Block;Neighbourhood;Krizek (2003)
Diversity;Plot area diversity (Simpson's);Accessible radius;Block;Urban Area/Neighbourhood;Bobkova, Marcus and Berghauser Pont (2017)
Diversity;Plot Area Diversity;Case study;Urban Area/Neighbourhood;Urban Area/Neighbourhood;Bourdic, Salat and Nowacki (2012)
Diversity;Block Area Power law distribution;Neighborhood;Urban Area/Neighbourhood;Urban Area/Neighbourhood;Louf and Barthelemy (2014)
Diversity;Block Shape factor Probaility conditional distribution;Neighborhood;Urban Area/Neighbourhood;Urban Area/Neighbourhood;Louf and Barthelemy (2014)
Diversity;Diversity index;Street network;Urban Area/Neighbourhood;Urban Area/Neighbourhood;Agryzkov, Tortosa and Vicent (2018)
Diversity;Scale hierarchy;Street network;Urban Area/Neighbourhood;Urban Area/Neighbourhood;Bourdic, Salat and Nowacki (2012)
